@RELATION VideoQuality


@ATTRIBUTE cqi REAL
@ATTRIBUTE mcsDown REAL
@ATTRIBUTE brateDown REAL
@ATTRIBUTE blerDown REAL
@ATTRIBUTE snr REAL
@ATTRIBUTE phr REAL
@ATTRIBUTE mcsUp REAL
@ATTRIBUTE brateUp REAL
@ATTRIBUTE blerUp REAL

@ATTRIBUTE class {320,640,480,768,1024,1280,1920}


@DATA
14.1,24.1,629000.0,1.2,3.84,24.8,0.0,180,4.5,768
15.0,26.9,776000.0,0,3.87,25.8,0.0,227,0,768
14.6,25.5,653000.0,0,3.79,24.8,0.0,221,1.7,768
13.2,20.3,591000.0,0,4.26,26.2,0.0,176,1.1,768
15.0,27.0,798000.0,0,3.88,24.9,0.0,217,0,768
15.0,27.0,927999.0,0,3.80,25.9,0.0,229,0,768
14.4,26.6,661000.0,0,3.89,25.3,0.0,145,3.0,768
12.4,25.6,574000.0,0,3.93,23.1,0.0,193,2.2,768
15.0,27.0,807000.0,0,3.64,28.1,0.0,224,2.2,1024
15.0,27.0,788000.0,0,3.65,23.1,0.0,218,0,1024
14.6,26.1,789000.0,0,3.83,25.6,0.0,223,0,1024
15.0,26.6,936999.0,0,3.74,24.5,0.0,243,2.4,1024
15.0,26.6,696000.0,0,3.52,24.6,0.0,217,2.6,1024
15.0,27.0,963000.0,0,3.80,27.2,0.0,230,0,1024
15.0,27.0,811999.0,0,3.82,26.3,0.0,235,1.9,1024
15.0,27.0,844999.0,0,3.77,23.6,0.0,226,0,1024
14.5,26.1,755000.0,0,3.86,25.8,0.0,199,1.7,1024
15.0,27.0,795000.0,0,3.81,28.0,0.0,199,0,1024
13.4,25.8,677000.0,0,3.83,23.9,0.0,175,4.3,1024
15.0,27.0,832000.0,0,3.65,25.2,0.0,238,1.5,1024
15.0,27.0,809000.0,0,3.74,25.8,0.0,225,0,1024
15.0,27.0,852999.0,0,3.71,26.8,0.0,225,1.1,1024
15.0,27.0,793000.0,0,3.78,25.5,0.0,195,2.2,1024
13.2,20.7,562000.0,5.9,4.05,28.7,0.0,298,2.6,1024
15.0,27.0,813000.0,0,3.79,25.6,0.0,219,2.2,1024
12.5,24.4,695000.0,0,3.77,26.9,0.0,184,4.5,1024
15.0,26.9,838000.0,0,3.57,25.6,0.0,226,0,1024
15.0,27.0,861999.0,0,3.50,26.4,0.0,231,1.9,1024
15.0,26.9,803999.0,0,3.49,25.6,0.0,209,2.1,1024
11.5,25.5,626,0,2.94,29.0,0.0,13.4,0,1024
4.96,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1024
8.00,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1024
6.00,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1024
7.28,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1024
5.16,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1024
6.62,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1024
4.20,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1024
9.60,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1024
7.20,0.0,0.0,0,3.28,23.0,0.0,1.26,0,1024
9.80,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1024
6.00,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1024
10.8,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1024
11.2,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1024
0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1024
0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1024
0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1024
0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1024
0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1024
0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1024
0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1024
0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1024
0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1024
0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1024
0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1024
0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1024
0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1024
0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1024
0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1024
0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1024
0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1024
0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1024
0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1024
0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1024
5.00,12.8,134000.0,0,4.16,27.0,0.0,58.4,6.2,1024
14.4,25.8,693000.0,0,3.58,26.6,0.0,215,3.0,1024
14.4,25.8,721000.0,0,3.67,23.2,0.0,200,2.7,1024
15.0,26.8,861000.0,0,3.65,25.1,0.0,212,0,1024
12.4,24.2,635000.0,0,3.94,24.1,0.0,184,4.0,1024
13.0,26.0,620000.0,0,3.07,26.2,0.0,141,9.0,1024
15.0,26.1,754000.0,0,3.31,23.0,0.0,191,2.0,1024
13.8,23.6,660000.0,0,3.38,23.1,0.0,184,1.5,1024
15.0,26.9,710000.0,1.3,2.76,25.2,0.0,177,13,1024
15.0,26.5,751000.0,0,3.33,23.8,0.0,204,1.0,1024
13.8,24.2,409000.0,0,3.05,24.1,0.0,136,6.4,1024
14.4,26.5,702000.0,0,3.02,25.6,0.0,172,6.1,1024
12.6,22.5,840000.0,0,4.18,27.3,0.0,195,4.3,1024
8.70,23.6,430000.0,3.0,3.71,28.3,0.0,127,3.7,768
14.3,24.6,1190000.0,0,4.46,24.8,0.0,281,0,768
9.60,21.7,491000.0,0,3.64,26.7,0.0,125,2.8,768
12.0,22.8,606000.0,2.1,3.78,26.1,0.0,173,5.2,768
15.0,26.1,756000.0,0,2.87,24.8,0.0,180,5.0,1280
15.0,26.7,433000.0,0,2.92,24.5,0.0,140,7.2,1280
14.3,26.7,782000.0,0,3.33,26.4,0.0,188,8.2,1280
15.0,26.9,775000.0,0,3.13,23.6,0.0,193,2.6,1280
10.2,24.4,187000.0,0,2.95,27.8,0.0,58.1,13,1280
13.2,21.6,549000.0,0,3.87,24.2,0.0,203,1.8,1280
14.4,25.9,788000.0,0,3.58,24.8,0.0,190,0,1280
10.00,24.4,571000.0,0,3.45,23.8,0.0,158,3.3,1280
13.0,21.9,443000.0,0,2.92,24.0,0.0,122,9.7,1024
14.3,25.6,702000.0,0,3.10,24.4,0.0,151,7.0,1024
13.8,27.0,593000.0,0,3.35,23.2,0.0,144,3.2,1024
14.3,26.0,264000.0,0,2.94,24.6,0.0,81.7,7.2,1024
15.0,27.0,798000.0,0,3.57,23.0,0.0,195,4.4,1024
13.4,23.7,730000.0,0,3.64,24.7,0.0,174,5.6,1024
5.55,11.2,231000.0,0,4.11,25.0,0.0,162,8.3,1024
12.3,18.4,382000.0,2.2,3.38,25.5,0.0,129,16,1024
10.3,16.8,211000.0,4.6,2.40,23.5,0.0,65.1,27,1280
11.3,18.0,242000.0,5.9,2.65,23.4,0.0,87.0,23,1280
12.3,23.7,644000.0,1.6,3.54,24.6,0.0,174,11,1280
10.8,19.3,250999.07,5.8,3.13,26.3,0.0,124,14,1280
12.8,21.9,360000.0,5.5,2.53,24.8,0.0,106,29,1280
11.6,17.0,328000.0,6.4,2.21,24.8,0.0,96.0,39,1280
10.7,23.9,640000.0,0,3.76,25.1,0.0,179,7.9,1280
12.9,26.2,677000.0,0,3.09,25.2,0.0,178,14,1280
13.0,24.7,695000.0,1.5,2.59,25.1,0.0,187,24,1280
13.1,21.5,330000.0,4.6,2.64,24.2,0.0,102,25,1280
5.22,16.7,887,2.1,3.93,25.0,0.0,47.7,11,1280
11.0,19.6,581000.0,0,4.06,26.0,0.0,148,6.4,1280
13.7,24.1,850000.0,0,3.58,25.8,0.0,192,5.3,1280
13.2,26.9,717000.0,0,3.67,22.9,0.0,175,3.6,1280
0.0,0.0,56.0,0,5.22,23.0,0.0,4.81,12,1280
6.23,17.7,199000.0,5.6,3.49,23.4,0.0,123,12,1280
11.6,20.2,262,0,2.80,28.8,0.0,20.6,55,1280
11.9,14.5,174000.0,4.3,3.19,24.0,0.0,69.9,23,1280
12.1,17.8,152000.0,2.2,2.69,23.6,0.0,55.1,28,1280
8.48,21.8,817,0,3.08,22.0,0.0,48.6,34,1280
11.9,14.2,561000.0,4.8,4.91,23.6,0.0,158,5.8,1280
11.3,18.6,589000.0,2.0,4.63,24.6,0.0,206,7.9,1280
12.6,20.3,529000.0,3.0,4.52,23.1,0.0,144,5.8,1280
11.6,23.8,609000.0,1.2,3.74,25.6,0.0,183,8.7,1280
12.9,24.0,537000.0,2.1,3.46,24.0,0.0,175,25,1280
11.1,11.7,152000.0,4.8,3.08,28.5,0.0,65.6,39,1280
10.5,16.1,744,0,2.06,24.2,0.0,25.6,45,1280
10.00,11.2,194000.0,2.9,3.86,25.0,0.0,62.0,27,1280
11.1,25.6,609000.0,0,3.83,25.6,0.0,173,2.5,1280
11.9,21.5,633000.0,0,3.94,22.6,0.0,164,0,1280
12.7,22.9,631000.0,0,3.84,25.0,0.0,184,3.0,1280
13.1,23.9,505000.0,1.6,3.65,24.1,0.0,125,13,1280
12.1,13.2,47.6,0,2.76,23.0,1.61,22.8,65,768
10.2,3.87,158,2.1,3.99,22.6,0.0,23.9,25,768
8.87,11.7,100000.0,0,2.70,25.3,0.0,57.8,55,768
5.60,3.36,511,2.5,2.55,24.4,0.0,34.7,51,768
5.17,6.21,161,8.8,2.02,23.0,0.0,9.21,52,1024
3.12,2.82,854,5.1,4.23,24.1,0.0,46.3,4.1,1024
9.72,14.3,349000.0,0,4.50,23.4,0.0,115,1.6,1024
6.00,10.5,261000.0,2.6,4.24,25.2,0.0,89.0,6.8,1024
3.75,5.43,139000.0,0,4.17,25.9,0.0,58.2,5.1,1024
0.0,0.0,288,1,4.02,27.1,0.0,22.8,8.3,1024
8.17,9.64,276000.0,2.7,3.68,25.2,0.0,88.3,14,1024
8.20,4.47,539,2.4,2.27,22.0,0.0,13.1,67,768
7.16,3.59,120,0,3.81,26.8,0.0,31.9,40,768
7.30,5.75,112999.09,4.7,1.84,24.3,0.0,27.2,58,768
9.79,5.71,366,5.2,3.75,26.3,1.12,31.2,48,768
6.33,8.07,204000.0,6.6,4.36,25.5,0.0,97.1,5.8,1024
3.38,7.53,164000.0,3.9,3.94,24.8,0.0,73.7,9.8,1024
3.87,3.64,104000.0,5.3,3.77,24.4,0.0,63.5,7.8,1024
3.28,4.38,133000.0,5.5,4.63,25.6,0.0,36.4,13,1024
2.12,2.36,472,6.2,1.24,23.0,0.0,13.0,73,1024
3.08,0.0,273,2.3,6.86,24.6,1.78,23.0,11,1024
2.92,3.18,166000.0,3.7,4.65,23.0,0.0,63.0,6.8,1024
4.21,5.12,147000.0,6.0,3.38,24.0,0.0,61.1,30,1024
1.35,0.0,630,0,2.30,22.8,0.0,22.8,53,480
5.20,5.25,14.8,1,0.0,0.0,0.0,0.0,100,480
3.92,1.61,370,3.0,3.88,22.2,0.0,39.9,20,480
1.09,0.0,643,5.4,3.31,22.4,0.0,47.0,27,480
2.96,2.05,159000.0,3.2,4.09,23.5,0.0,47.8,3.6,480
1.92,1.32,748,3.6,4.62,24.3,0.0,54.7,3.0,480
2.48,1.80,146000.0,1.5,3.63,23.7,0.0,53.2,1.6,480
2.21,2.69,115999.09,5.2,3.04,26.2,0.0,41.6,21,480
3.76,2.68,521,2.8,3.66,25.8,0.0,31.1,33,480
2.88,1.48,315,0,4.21,24.2,0.0,30.9,27,480
3.40,1.56,649,7.7,2.99,22.0,1.53,26.5,44,480
4.80,1.99,429,5.1,2.87,23.3,0.0,12.5,48,480
3.29,1.25,405,3.5,2.97,22.0,0.0,18.3,42,768
2.88,1.96,81.0,4.0,4.40,27.7,1.31,17.3,37,768
4.08,1.09,272,6.0,1.38,26.5,0.0,10.6,69,768
3.24,2.88,46.4,0,3.25,22.5,1.79,14.5,68,768
2.16,2.70,576,4.7,4.54,23.5,0.0,60.6,9.5,480
3.36,3.41,967,3.3,3.90,22.6,0.0,51.1,4.8,480
5.48,7.10,268000.0,8.0,3.87,23.1,0.0,84.6,9.1,480
3.67,4.46,161000.0,3.2,4.18,24.3,0.0,76.3,11,480
3.57,8.15,138000.0,4.5,5.26,23.9,1.82,67.5,18,480
8.91,14.3,461000.0,1.3,4.59,23.1,0.0,131,17,480
8.40,14.0,379000.0,1.9,3.66,23.2,0.0,112,23,480
6.65,8.85,208000.0,3.0,3.55,24.5,0.0,96.3,24,480
11.3,4.88,60.8,6.2,0.0,22.0,0.0,6.27,81,480
6.08,1.05,79.9,7.1,3.24,25.8,0.0,33.3,32,480
5.40,4.88,135000.0,2.9,3.36,23.3,0.0,42.6,33,480
5.96,6.18,152000.0,4.6,3.51,24.4,0.0,55.4,36,480
8.68,8.56,882,7.5,2.56,24.0,0.0,35.9,48,320
7.75,25.0,12.2,0,3.35,22.0,1.55,7.14,71,320
4.75,6.12,857,6.5,4.40,25.5,1.67,45.7,24,320
4.60,0.0,7.07,0,4.13,24.3,0.0,12.5,15,320
5.74,4.89,899,3.9,2.00,23.1,0.0,33.4,60,480
8.54,4.79,524,4.0,1.39,27.7,0.0,22.7,75,480
4.83,5.14,136000.0,0,4.48,26.0,0.0,72.4,6.3,480
6.96,12.5,356000.0,3.4,3.90,25.1,0.0,104,13,480
7.83,9.79,200000.0,2.0,4.20,24.1,0.0,84.5,11,480
5.30,11.5,161000.0,3.3,3.88,24.3,0.0,68.0,17,480
7.16,12.0,305000.0,2.9,3.33,25.2,0.0,109,23,480
8.41,10.00,112999.09,3.3,3.86,26.2,0.0,70.0,18,480
7.56,11.0,24.0,0,0.0,0.0,6.00,0.0,100,640
4.83,3.01,307,0,4.00,27.7,1.55,55.5,35,640
7.88,8.30,405,0,1.67,23.0,0.0,13.0,61,640
4.30,6.16,247000.0,0,3.56,23.8,0.0,89.7,15,640
2.00,2.25,584,0,2.31,26.0,0.0,36.5,44,1024
2.08,3.92,478,3.7,3.05,23.2,0.0,31.7,22,1024
8.96,10.0,151000.0,4.1,3.30,22.4,0.0,49.3,28,1024
5.28,25.0,12.2,0,0.0,0.0,1.20,0.0,100,768
6.29,6.29,158,9.5,3.88,27.8,0.0,21.0,25,768
6.25,4.63,104000.0,0,3.98,24.6,1.55,41.7,37,768
7.64,7.28,101000.0,3.4,3.05,23.1,0.0,42.9,38,768
7.50,5.00,7.55,0,1.79,22.0,1.26,11.4,74,480
10.2,6.89,360,9.2,2.41,23.1,0.0,33.6,61,480
7.48,5.49,144,7.3,2.59,23.0,1.72,16.2,66,480
3.00,1.22,170,1.0,4.49,26.2,0.0,28.6,18,480
5.64,2.74,529,4.0,3.36,25.2,0.0,24.5,21,640
4.04,3.81,101000.0,0,2.77,26.2,0.0,32.4,31,640
7.05,14.5,162000.0,1.6,3.69,23.3,0.0,94.1,12,640
5.33,6.33,129000.0,6.8,2.59,25.4,0.0,77.4,43,640
8.28,4.51,233,8.5,2.32,26.0,0.0,14.2,62,640
6.54,7.57,54.7,7.7,2.45,23.5,0.0,26.8,59,640
11.3,17.2,546,1,1.16,25.0,0.0,15.3,75,640
4.71,12.5,84.1,1,3.49,24.8,0.0,29.2,28,640
6.58,9.18,214,0,2.73,24.5,0.0,3.96,71,640
5.92,3.10,292,0,4.07,32.8,1.02,13.1,47,640
6.04,2.79,432,1.4,4.97,25.6,0.0,32.5,19,640
6.17,10.1,150000.0,5.0,3.66,24.8,0.0,71.2,22,640
8.76,10.5,276000.0,6.0,4.34,24.2,0.0,108,13,480
5.12,8.04,873,2.4,4.77,22.6,0.0,75.5,9.9,480
7.21,10.1,256999.07,2.7,4.63,24.3,0.0,99.7,9.6,480
8.68,23.7,194000.0,0,3.32,24.0,0.0,54.5,29,480
8.40,7.92,83.4,7.7,1.55,22.0,0.0,7.75,77,320
6.33,5.95,501,0,4.03,25.7,1.57,40.2,44,320
9.62,9.86,959,2.6,1.77,27.0,0.0,24.9,71,320
7.24,5.93,168,3.7,2.35,24.8,0.0,15.2,53,320
6.63,8.53,169000.0,0,3.20,25.2,0.0,60.3,29,320
6.71,12.5,262000.0,0,3.47,25.2,0.0,83.0,21,320
9.08,15.4,366000.0,2.6,3.65,24.7,0.0,126,19,320
7.83,13.3,239000.0,2.7,2.70,26.9,0.0,68.8,39,320
6.83,10.7,524,8.3,1.29,23.3,0.0,17.0,71,480
9.08,7.72,145000.0,7.1,4.89,28.1,1.71,79.4,31,480
6.59,10.4,235000.0,0,3.13,26.3,0.0,74.2,27,480
4.83,9.02,145000.0,6.5,2.64,23.5,0.0,49.5,29,480
9.64,9.91,375,0,1.59,31.0,0.0,12.7,73,480
6.92,2.57,196,3.8,5.23,23.6,2.21,43.1,32,480
7.39,9.21,293000.0,3.0,3.89,25.6,0.0,87.3,25,480
5.35,9.67,191000.0,2.8,4.27,24.8,0.0,79.9,20,480
9.00,13.7,663,9.6,1.69,22.5,0.0,10.3,65,640
6.35,3.51,256,1.5,3.52,24.1,1.06,94.7,36,640
6.87,12.2,268000.0,4.8,3.82,22.8,0.0,82.5,23,640
7.88,19.1,328000.0,1.3,4.17,23.6,0.0,106,13,640
10.9,9.50,643,7.8,1.92,26.0,2.35,27.5,69,768
5.80,3.70,108,0,5.01,22.0,1.47,13.8,27,768
4.33,6.46,112999.09,2.7,4.76,25.5,0.0,77.1,12,768
7.52,13.5,343000.0,2.6,4.29,23.6,0.0,77.2,13,768
6.50,3.45,23.9,0,1.26,0.0,5.00,6.38,84,640
4.25,8.09,330,4.3,5.76,28.1,1.40,59.8,12,640
5.04,9.56,195000.0,2.7,4.04,24.1,0.0,90.9,15,640
2.75,9.78,101000.0,2.0,3.54,22.4,1.02,37.8,34,640
2.30,8.50,118000.0,0,2.93,26.3,0.0,73.9,38,768
3.56,3.32,655,8.0,4.16,23.2,1.11,40.8,34,768
6.68,3.14,501,0,2.87,29.6,1.92,6.00,62,768
4.60,0.0,66.2,6.7,1.85,24.2,0.0,15.8,60,768
4.61,2.55,851,5.0,3.49,25.1,0.0,28.1,37,768
4.29,4.19,342,6.7,2.48,27.0,0.0,28.7,43,768
1.96,3.27,555,7.6,1.54,22.0,0.0,20.3,62,768
3.40,2.97,367,3.7,0.0,23.0,0.0,1.48,71,768
5.50,3.72,174,0,1.72,25.0,0.0,25.6,59,640
2.13,2.36,743,5.5,2.50,23.9,0.0,26.1,44,640
3.09,5.31,966,9.6,2.19,23.7,0.0,32.8,53,640
4.79,1.08,252,0,3.48,22.0,1.41,16.8,47,640
3.63,2.05,578,8.1,3.78,23.8,0.0,11.7,25,640
3.30,5.00,534,6.9,4.20,24.8,0.0,35.0,36,640
3.80,4.04,423,4.5,4.47,24.8,0.0,32.5,11,640
5.33,3.89,352,3.9,2.06,23.2,0.0,18.7,65,640
1.80,7.00,1.54,0,1.96,22.0,1.24,11.1,67,640
3.04,7.21,114999.09,7.7,3.30,24.6,0.0,76.3,19,640
2.83,2.68,559,4.0,3.34,25.0,0.0,38.9,17,640
2.88,5.89,107000.0,4.0,3.82,25.3,0.0,43.8,11,640
2.36,4.58,120000.0,3.4,3.44,26.2,0.0,42.4,14,640
4.68,8.38,213000.0,3.6,4.12,24.9,0.0,73.8,10,640
2.54,4.14,152000.0,3.6,2.72,25.8,0.0,70.5,26,640
4.87,7.45,133000.0,5.2,2.46,23.7,0.0,44.2,41,640
6.17,2.54,286,3.8,2.26,26.3,0.0,16.1,49,640
5.04,13.8,119,0,2.45,23.0,1.45,27.3,42,640
6.12,5.58,112999.09,4.4,3.34,24.0,0.0,40.4,20,640
11.0,11.7,7.05,0,1.68,31.6,0.0,23.6,64,640
5.52,7.24,830,3.2,2.86,23.2,0.0,33.6,43,640
5.44,2.48,397,3.7,1.31,23.0,0.0,14.7,59,640
5.48,1.04,141,4.4,2.74,26.5,0.0,18.6,24,640
3.08,4.14,812,3.9,3.10,24.7,0.0,62.6,15,640
2.40,3.25,103000.0,4.2,3.28,25.5,0.0,38.1,17,320
4.70,7.19,177000.0,2.7,4.36,24.8,0.0,83.4,10,320
3.96,5.04,162000.0,5.0,3.86,24.3,0.0,67.0,23,320
3.33,4.95,105000.0,3.0,2.35,24.9,0.0,36.6,41,320
5.62,8.19,37.8,0,1.11,23.3,0.0,12.9,70,320
3.92,2.79,422,2.7,2.41,28.4,0.0,37.2,30,320
5.60,7.07,130,3.7,0.0,0.0,0.0,0.0,100,320
2.28,1.36,221,2.9,5.25,29.3,1.30,20.0,5.0,320
2.24,5.29,799,3.0,3.75,25.4,0.0,35.6,8.3,320
3.24,5.32,132000.0,4.9,3.86,23.9,0.0,51.3,5.4,320
0.0,3.15,666,6.5,3.22,26.2,0.0,36.6,15,320
3.96,3.73,171000.0,5.3,3.96,24.9,0.0,65.6,20,320
5.96,6.00,11.9,0,0.0,0.0,0.0,0.0,100,640
5.86,4.92,986,4.0,2.47,27.6,0.0,64.1,49,640
2.87,1.84,101000.0,0,2.72,24.9,0.0,45.4,36,640
4.92,11.6,470,0,1.53,28.0,0.0,20.1,58,640
2.50,2.80,312,0,2.77,23.0,1.58,50.4,50,640
4.61,4.23,643,0,2.30,23.6,0.0,37.9,49,640
1.17,2.75,635,4.5,3.54,26.2,0.0,40.3,19,640
1.32,2.43,870,8.6,3.51,23.8,0.0,43.9,14,640
5.12,4.68,710,4.1,1.68,31.7,0.0,12.6,68,640
2.95,3.76,360,2.9,2.77,24.5,0.0,57.8,41,640
6.63,4.05,177,0,1.73,23.0,0.0,7.82,69,640
3.64,5.68,717,4.3,3.51,24.8,0.0,70.6,20,640
2.16,4.92,914,4.1,3.30,28.0,0.0,52.4,14,320
2.56,3.27,964,0,3.47,25.1,0.0,41.3,12,320
2.60,5.21,150000.0,4.5,3.71,25.6,0.0,50.9,11,320
0.0,0.0,18.3,5.9,2.79,29.5,0.0,6.30,31,320
3.58,5.45,102000.0,5.6,1.24,23.0,0.0,16.1,59,320
3.67,1.82,407,0,5.91,26.1,1.87,70.9,7.5,320
5.12,5.79,299,4.7,1.47,23.0,0.0,20.9,62,320
4.75,0.0,0.0,0,0.0,0.0,0.0,0.0,100,320
4.80,2.50,194,3.8,2.30,23.0,0.0,12.0,38,320
3.80,1.27,182,0,3.06,26.5,0.0,36.5,38,320
2.60,3.61,843,3.5,3.84,24.4,0.0,67.0,9.6,320
2.28,3.42,940,0,3.38,25.4,0.0,55.9,8.3,320
1.50,1.35,328,5.0,3.35,26.8,0.0,28.9,14,480
1.96,2.96,893,0,4.07,25.3,0.0,43.8,1.9,480
2.56,3.43,109000.0,3.2,3.85,26.5,0.0,53.9,1.5,480
0.0,0.0,481,6.7,3.39,26.0,0.0,21.3,15,480
6.79,12.3,177,5.0,1.78,23.0,0.0,16.5,58,480
3.63,1.28,169,5.1,3.26,25.6,0.0,13.4,35,480
5.32,2.18,230,0,0.0,0.0,0.0,0.0,100,480
4.80,0.0,81.5,1.9,3.16,25.0,1.58,15.8,50,480
1.84,1.29,444,4.2,3.86,26.8,0.0,21.5,13,480
2.04,4.39,656,2.9,3.86,27.9,0.0,32.9,3.9,480
2.42,3.66,113999.09,6.4,3.94,24.7,0.0,64.7,8.8,480
3.68,5.44,933,4.3,3.77,25.4,0.0,40.0,6.1,480
6.20,6.83,404,7.1,1.13,26.0,0.0,11.1,64,480
3.67,2.29,423,0,3.97,24.1,0.0,42.1,15,480
3.83,7.16,182000.0,3.3,3.82,26.6,0.0,57.1,10,480
4.43,9.09,877,8.8,2.97,25.3,0.0,47.6,29,480
5.00,3.82,609,5.1,1.61,24.0,0.0,17.5,51,480
4.33,2.01,210,0,1.91,23.7,0.0,27.7,49,480
2.12,3.78,969,6.8,3.39,25.1,0.0,44.5,14,480
2.44,4.99,778,6.2,3.18,23.6,0.0,28.9,9.1,480
4.83,3.39,351,8.1,2.11,23.0,0.0,21.3,40,320
2.59,2.65,503,7.1,2.10,25.1,0.0,41.7,45,320
2.71,5.65,101000.0,4.8,2.96,24.0,0.0,57.7,18,320
2.71,2.82,701,7.5,3.41,25.1,0.0,32.1,20,320
1.96,1.40,533,7.7,3.86,27.0,1.49,66.2,35,320
3.67,6.30,455,0,2.50,23.5,1.01,41.2,47,320
4.08,4.10,328,0,1.76,23.0,0.0,21.6,58,320
2.32,2.11,116,0,3.54,28.6,0.0,27.5,27,320
2.52,4.58,766,8.5,3.38,27.5,1.06,65.6,32,320
3.65,2.65,496,8.2,1.61,25.2,0.0,25.3,56,320
3.46,1.30,329,5.2,6.26,23.9,1.04,30.8,4.3,320
4.52,5.43,403,8.6,1.14,0.0,0.0,5.02,68,320
2.28,3.17,243,9.3,4.58,31.5,1.36,31.0,32,320
4.57,1.41,222,6.5,1.28,23.0,0.0,17.8,67,320
3.52,0.0,178,3.6,4.07,23.0,0.0,26.6,21,320
2.68,7.36,231,8.0,3.38,28.7,0.0,18.7,8.3,320
6.04,2.71,228,6.2,0.0,0.0,0.0,0.0,100,480
2.20,0.0,122,4.3,2.95,23.0,0.0,30.5,24,480
1.64,1.07,677,3.3,4.21,26.0,0.0,43.9,7.4,480
0.0,1.38,830,4.8,3.34,23.9,0.0,48.1,20,480
2.63,3.73,109000.0,0,3.85,26.8,0.0,53.6,9.1,480
4.58,11.4,185000.0,1.2,3.47,23.9,0.0,76.0,5.5,480
1.68,4.42,120000.0,3.3,3.76,25.0,0.0,56.7,10.0,480
5.13,7.27,127000.0,3.5,2.43,23.9,0.0,56.6,37,480
6.76,8.50,32.5,0,0.0,0.0,0.0,0.0,100,480
4.00,1.06,477,9.5,3.30,23.7,0.0,36.0,29,480
4.72,9.18,621,6.4,2.44,29.2,0.0,10.9,36,480
5.50,2.23,226,3.5,1.04,23.0,0.0,16.4,73,480
3.46,2.73,789,2.9,4.32,27.2,0.0,51.1,3.2,480
1.50,1.29,641,2.9,3.33,24.4,0.0,42.1,18,480
2.27,3.98,112999.09,5.7,3.15,25.1,0.0,56.1,20,480
5.72,8.20,181000.0,8.3,2.83,23.7,0.0,54.9,27,480
5.46,6.55,136,0,1.89,23.0,0.0,26.7,61,320
3.96,4.48,723,3.9,3.30,24.3,0.0,62.5,14,320
1.79,1.35,103000.0,2.3,3.60,23.0,0.0,49.6,24,320
4.28,1.98,756,8.4,3.73,23.9,0.0,62.5,21,320
7.54,1.48,48.9,4.3,0.0,23.0,0.0,4.88,78,320
4.40,6.07,117000.0,0,3.74,25.2,0.0,65.5,3.7,320
1.68,4.26,783,7.7,3.15,25.0,0.0,51.8,14,320
2.65,3.15,154000.0,4.4,3.38,24.5,0.0,62.2,22,320
4.17,2.74,464,7.5,2.00,27.0,0.0,8.70,48,320
5.87,1.17,70.4,8.0,1.91,25.8,0.0,30.5,56,320
1.46,1.39,687,3.8,3.15,23.9,0.0,31.7,21,320
5.04,5.56,939,5.9,2.21,24.2,0.0,33.1,31,320
6.44,6.25,24.3,0,0.0,0.0,0.0,0.0,0,480
1.91,4.08,242,0,3.88,23.4,1.82,69.5,22,480
1.83,2.22,101000.0,9.7,2.99,24.1,0.0,47.5,22,480
2.04,4.04,105000.0,6.0,3.07,26.4,0.0,43.4,26,480
3.29,3.93,318,3.9,2.24,24.0,2.56,18.3,56,640
5.64,7.45,32.6,0,1.28,23.5,0.0,5.72,68,640
5.52,3.13,326,1.0,3.28,27.3,0.0,16.6,9.1,640
3.17,2.87,911,5.1,2.98,24.1,0.0,41.4,28,640
2.42,3.31,100000.0,5.7,2.88,23.3,0.0,39.4,30,640
